section_id,category_code,category_name,section_code,question_number,answer_type,question_text,answer_0,answer_1,answer_2,answer_3,why_this_matters,recommended_actions
00000000-0000-0000-0003-000000000001,2_cybersecurity,Cybersecurity,A,A4,scored_0_3,"How familiar are family members with basic cyber risks (phishing, scams)?",Low,Basic,Moderate,High and tested,"This gauges vulnerability to social engineering. Low awareness increases the likelihood of financial loss, identity theft, or account takeover.",Conduct baseline cyber awareness assessments and tailor training accordingly.
00000000-0000-0000-0003-000000000001,2_cybersecurity,Cybersecurity,A,A5,scored_0_3,Do you have personal or family cybersecurity insurance?,None,Exploring,Active policy,Active and aligned to risk,"Insurance can offset financial losses, cover forensic services, and provide crisis response. Its absence means incidents may result in unplanned emergency spending and reputational damage.",Obtain or review a personal cyber liability policy tailored to household exposure.
00000000-0000-0000-0003-000000000001,2_cybersecurity,Cybersecurity,A,A6,scored_0_3,What additional cybersecurity practices do family members utilize while traveling domestically or internationally?,None,Minimal,Defined,Strict protocols,"Travel increases exposure to insecure Wi-Fi, border searches, and device theft. This question identifies gaps during the household's highest-risk periods.","Establish and enforce a travel security protocol including VPN use, device encryption, and data minimization."
00000000-0000-0000-0003-000000000001,2_cybersecurity,Cybersecurity,A,A7,scored_0_3,Have you or your family members ever been the victim of phishing or social engineering scams?,Frequent and unresolved,Occasional,Rare,None and training applied,Past incidents are strong predictors of future risk. This helps identify recurring patterns and whether lessons were applied—or ignored.,Conduct post-incident review and apply lessons to training and controls.
00000000-0000-0000-0003-000000000001,2_cybersecurity,Cybersecurity,A,A8,scored_0_3,"Are staff or service providers (nannies, house managers, IT help) trained on cybersecurity, privacy, and confidentiality practices?",None or unvetted,Basic awareness,Trained,Certified and periodically retrained,Third-party access without proper training is a significant insider threat vector.,"Require cyber awareness training for all household staff with access to networks, devices, or sensitive information."
00000000-0000-0000-0003-000000000002,2_cybersecurity,Cybersecurity,B,B1,scored_0_3,"Do you have an inventory of all household devices—computers, phones, tablets, smart TVs, IoT devices, and routers?",None,Partial,Complete,Dynamic and maintained,You can't protect what you don't know exists. Unknown or forgotten devices are common attack vectors.,Create and maintain a full household device inventory; assign ownership for each device.
00000000-0000-0000-0003-000000000002,2_cybersecurity,Cybersecurity,B,B2,scored_0_3,Are all devices running current software updates?,Outdated,Manual,Current,Automated and enforced,Updates patch known vulnerabilities. Unpatched devices are one of the easiest targets for attackers.,Enable automatic updates on all devices; verify compliance monthly.
00000000-0000-0000-0003-000000000002,2_cybersecurity,Cybersecurity,B,B3,scored_0_3,Are all devices set to auto-update?,None,Some devices,Most devices,All devices,Manual updating fails over time. Auto-updates reduce reliance on memory and discipline.,Enforce auto-updates across all household devices as a baseline security standard.
00000000-0000-0000-0003-000000000002,2_cybersecurity,Cybersecurity,B,B4,scored_0_3,"Are separate networks used for guests, home automation, IoT, and critical devices?",None,Limited,Partially segmented,Fully segmented,Network segmentation limits damage if one device or guest network is compromised.,"Configure separate Wi-Fi networks for work/family, guests, and IoT/smart home devices."
00000000-0000-0000-0003-000000000002,2_cybersecurity,Cybersecurity,B,B5,scored_0_3,Is antivirus/endpoint protection installed on all applicable devices?,None,Some,Installed,Managed and regularly updated,"Endpoint protection is a foundational layer against malware, surveillance, and unsecured networks—especially for travel and remote work.",Deploy managed endpoint protection and ensure VPN use on all devices during travel and remote work.
00000000-0000-0000-0003-000000000003,2_cybersecurity,Cybersecurity,C,C1,scored_0_3,"How many online accounts exist across the household (email, banking, social media, subscriptions)?",Unknown,Partial,Known,Fully mapped and maintained,Account sprawl increases risk. Every unused or forgotten account is a potential breach point.,Conduct a full account audit; close unused accounts and document all active ones.
00000000-0000-0000-0003-000000000003,2_cybersecurity,Cybersecurity,C,C2,scored_0_3,"Are password managers used, and are they secure?",Reused or weak passwords,Some complexity,Password manager in use,Enterprise-grade and enforced,Password managers reduce reuse and weak passwords—two of the biggest causes of account compromise.,Deploy a password manager for all family members; enforce use for all sensitive accounts.
00000000-0000-0000-0003-000000000003,2_cybersecurity,Cybersecurity,C,C3,scored_0_3,Is MFA enabled on sensitive accounts?,None,Limited,Enabled on critical accounts,Universal and phishing-resistant MFA,"Multi-factor authentication dramatically lowers the chance of unauthorized access, even if passwords are stolen.","Enable MFA on all banking, investment, and email accounts; prioritize phishing-resistant methods (hardware keys, passkeys)."
00000000-0000-0000-0003-000000000003,2_cybersecurity,Cybersecurity,C,C4,scored_0_3,"Who else has access to sensitive accounts (spouse, children, staff)?",Uncontrolled,Informal,Defined,Least-privilege enforced,"Shared access without structure creates confusion, accountability gaps, and insider risk—especially with staff or former employees.",Document all shared account access; apply least-privilege principles and revoke access upon staff departure.
00000000-0000-0000-0003-000000000004,2_cybersecurity,Cybersecurity,D,D1,scored_0_3,Are sensitive and important files backed up securely?,None,Irregular,Regular,Automated and redundant,"Backups protect against ransomware, device loss, and accidental deletion. Without them, recovery may be impossible.","Implement automated, encrypted, and offsite/cloud backups for all critical household data."
00000000-0000-0000-0003-000000000004,2_cybersecurity,Cybersecurity,D,D2,scored_0_3,How often are backups tested?,Never,Rare,Periodic,Scheduled and validated,Untested backups often fail when needed. Testing confirms recovery is actually possible.,Schedule quarterly backup restoration tests; document results and resolve any failures immediately.
00000000-0000-0000-0003-000000000004,2_cybersecurity,Cybersecurity,D,D3,scored_0_3,"Is sensitive personal data (SSN, DOB, account numbers) stored securely with controlled access?",Unsecured,Basic,Secured,Encrypted and access-controlled,"Sensitive data exposure enables identity theft, fraud, and account takeover.","Store sensitive documents in encrypted vaults with tiered access controls; eliminate insecure storage (email, unencrypted files)."
00000000-0000-0000-0003-000000000004,2_cybersecurity,Cybersecurity,D,D4,scored_0_3,Are privacy settings reviewed on social media?,Open or public,Basic,Reviewed,Strict and monitored,"Oversharing exposes family routines, locations, relationships, and assets—fuel for social engineering and physical risk.",Conduct a full social media privacy audit; apply maximum appropriate privacy settings on all platforms.
00000000-0000-0000-0003-000000000005,2_cybersecurity,Cybersecurity,E,E1,scored_0_3,"Are financial alerts, identity theft monitoring, and credit monitoring enabled?",None,Partial,Active,Real-time and centralized,Early detection reduces loss severity. Delayed discovery significantly increases financial and legal exposure.,Enable real-time transaction alerts on all financial accounts; enroll in identity theft and credit monitoring services.
00000000-0000-0000-0003-000000000005,2_cybersecurity,Cybersecurity,E,E2,scored_0_3,Is there online reputation monitoring or dark web monitoring in place?,None,Basic,Active,Comprehensive and alert-driven,"These tools identify compromised credentials, impersonation, or emerging reputational threats before they escalate.",Deploy dark web monitoring for all family member identities; set up reputation monitoring alerts.
00000000-0000-0000-0003-000000000005,2_cybersecurity,Cybersecurity,E,E3,scored_0_3,"How often are bank/credit card accounts reviewed for alerts and unusual transactions, and by whom?",None,Irregular,Regular,Segregated duties with dual review,Clear review responsibility prevents missed fraud and ensures alerts are acted on promptly.,Assign clear responsibility for regular account review; establish a minimum weekly review cadence for all financial accounts.
00000000-0000-0000-0003-000000000006,2_cybersecurity,Cybersecurity,F,F1,scored_0_3,Is there a plan in place to freeze credit or respond to financial fraud?,None,Informal,Defined,Documented and rehearsed,"Speed matters. Pre-planned actions reduce panic, delays, and financial damage during an incident.","Document a fraud response checklist including credit freeze contacts, bank escalation numbers, and legal contacts; rehearse annually."
00000000-0000-0000-0003-000000000006,2_cybersecurity,Cybersecurity,F,F2,scored_0_3,Is there a plan for lost or stolen devices?,None,Basic,Defined,Remote wipe and tracking enabled,Lost devices can expose accounts and sensitive data if not quickly locked or wiped.,Enable remote wipe and device tracking on all household devices; document the response procedure.
00000000-0000-0000-0003-000000000006,2_cybersecurity,Cybersecurity,F,F3,scored_0_3,Is there a plan for account compromise or hacked accounts?,None,Basic,Defined,Documented and rehearsed,"Without a plan, account compromise leads to prolonged access by attackers and greater financial and reputational damage.","Develop an account compromise response playbook covering isolation, notification, and recovery steps."
00000000-0000-0000-0003-000000000006,2_cybersecurity,Cybersecurity,F,F4,scored_0_3,Are backup credentials and account recovery information stored securely?,Insecure,Basic,Secure,Encrypted and access-controlled,Poor storage of recovery credentials undermines all other security controls.,"Store all recovery codes, backup credentials, and emergency access information in an encrypted vault with controlled access."
00000000-0000-0000-0003-000000000006,2_cybersecurity,Cybersecurity,F,F5,scored_0_3,Have past incidents been reviewed and lessons applied?,None,Informal,Occasional,"Formal, with continuous improvement applied",Failure to learn from incidents guarantees recurrence. This signals whether the household is improving its risk posture over time.,Conduct a formal post-incident review for every cyber event; track action items to closure.
00000000-0000-0000-0004-000000000001,3_physical,Physical Security,A,A1,scored_0_3,Who is responsible for overall family physical security oversight?,None,Informal,Assigned,Centralized and coordinated,"Lack of clear accountability can lead to inconsistent security practices, gaps, and delayed response to threats. When responsibility is unclear, risks are assumed to be handled by someone else, increasing exposure during travel or emergencies.",Designate a primary security officer or responsible party; clarify roles and responsibilities; ensure communication channels are established.
00000000-0000-0000-0004-000000000001,3_physical,Physical Security,A,A2,scored_0_3,"Are there security systems (cameras, alarms, access control) at all primary and secondary residences?",None,Partial,Installed,Layered and redundant,Security systems deter and detect threats. Absence or inconsistency across properties creates exploitable gaps.,Install and maintain integrated security systems across all residences; test systems quarterly.
00000000-0000-0000-0004-000000000001,3_physical,Physical Security,A,A3,scored_0_3,Do family members receive personal security awareness training or briefings?,None,One-time,Periodic,Regular and scenario-based,Awareness training helps family members recognize and respond to physical threats before they escalate.,Provide regular personal security briefings tailored to current travel destinations and threat environments.
00000000-0000-0000-0004-000000000001,3_physical,Physical Security,A,A4,scored_0_3,Is there a vetted secure transportation protocol for travel (domestic and international)?,None,Ad hoc,Defined,Documented and enforced,Unvetted transportation is a leading source of physical security incidents during travel.,"Establish pre-vetted transportation providers and protocols for all travel, especially international."
00000000-0000-0000-0004-000000000001,3_physical,Physical Security,A,A5,scored_0_3,"Have there been any prior security incidents (break-ins, threats, stalking, harassment)?",None,Anecdotal,Logged,Logged and analyzed,Past incidents often indicate elevated or recurring risk. This helps identify patterns that need corrective controls.,Document all past incidents; review for patterns; adjust security measures accordingly.
00000000-0000-0000-0004-000000000002,3_physical,Physical Security,B,B1,scored_0_3,"Are residences equipped with intrusion detection, fire suppression, and safe rooms?",None,Partial,Installed,Layered and redundant,Layered protections reduce harm from both criminal activity and environmental emergencies.,"Install intrusion alarms, fire suppression systems, and safe rooms in high-risk residences; conduct regular drills."
00000000-0000-0000-0004-000000000002,3_physical,Physical Security,B,B2,scored_0_3,Are properties reviewed periodically by a security professional?,Never,One-time,Periodic,Scheduled and risk-based,Threats evolve. Regular reviews ensure systems remain effective and aligned with current risk.,Schedule annual professional security assessments for all primary and secondary residences.
00000000-0000-0000-0004-000000000003,3_physical,Physical Security,C,C1,scored_0_3,Are all household staff and vendors subject to background checks and reference verification?,None,Informal,Standard,Comprehensive and periodic,Staff and vendors with unvetted access represent a primary insider threat vector.,"Implement comprehensive background checks, reference verification, and ongoing monitoring of all personnel."
00000000-0000-0000-0004-000000000003,3_physical,Physical Security,C,C2,scored_0_3,Is access to residences and offices restricted and documented?,Full or unrestricted access,Informal,Restricted,Logged with least-privilege access enforced,"Controlled access ensures only authorized individuals can enter sensitive areas, reducing liability and exposure.","Implement keycard or fob systems, visitor logs, and access permission protocols; review access rights periodically."
00000000-0000-0000-0004-000000000003,3_physical,Physical Security,C,C3,scored_0_3,Are visitors escorted and logged during visits?,None,Informal,Escorted,Logged and analyzed,Visitor management prevents unauthorized access and provides accountability if an incident occurs.,"Require visitor sign-ins, ID verification, and escort policies for all residences and offices."
00000000-0000-0000-0004-000000000003,3_physical,Physical Security,C,C4,scored_0_3,Do family members or staff have panic/emergency response training?,None,Minimal,Provided,Regular and scenario-based,"Training enables calm, coordinated responses during high-stress events, reducing harm and confusion.","Provide emergency response training for staff and family, including evacuation, lockdown, and communication procedures."
00000000-0000-0000-0004-000000000003,3_physical,Physical Security,C,C5,scored_0_3,Is there a defined escalation process for suspicious activity or threats?,None,Informal,Defined,Documented and enforced,Clear escalation paths prevent hesitation and ensure concerns are addressed before they escalate into incidents.,Develop clear reporting and escalation procedures for all staff; ensure all family members know who to contact.
00000000-0000-0000-0004-000000000004,3_physical,Physical Security,D,D1,scored_0_3,Are business activities or public roles assessed for physical security threats?,None,Informal,Assessed,Integrated into planning,"Business exposure can create personal security threats. Public-facing roles increase the likelihood of targeted harassment, stalking, or physical confrontation.",Conduct risk assessments related to business exposure; mitigate using protective measures and secure communications.
00000000-0000-0000-0004-000000000004,3_physical,Physical Security,D,D2,scored_0_3,Are there protocols for social media exposure and public postings regarding travel or location?,None,Informal,Defined,Enforced and monitored,"Real-time location sharing increases the risk of stalking, burglary, or targeted harassment.",Implement social media guidance; limit sharing of locations; provide staff and family training on digital privacy.
00000000-0000-0000-0004-000000000005,3_physical,Physical Security,E,E1,scored_0_3,Is there an emergency response plan for each residence?,None,Generic,Defined,Location-specific and tested,"Plans reduce panic and confusion, enabling faster and more effective response during crises.","Develop and document comprehensive emergency response plans for each property, including roles, communication trees, and evacuation routes."
